商品,日期,GDP_亿元,预测值,前值
中国GDP年率报告,2011,9.8,9.5,9.6
中国GDP年率报告,2011,9.7,9.4,9.8
中国GDP年率报告,2011,9.5,9.5,9.7
中国GDP年率报告,2011,9.1,9.2,9.5
中国GDP年率报告,2012,8.9,8.8,9.1
中国GDP年率报告,2012,8.1,8.3,8.9
中国GDP年率报告,2012,7.6,7.6,8.1
中国GDP年率报告,2012,7.4,7.4,7.6
中国GDP年率报告,2013,7.9,7.8,7.4
中国GDP年率报告,2013,7.7,8.0,7.9
中国GDP年率报告,2013,7.5,7.5,7.7
中国GDP年率报告,2013,7.8,7.8,7.5
中国GDP年率报告,2014,7.7,7.6,7.8
中国GDP年率报告,2014,7.4,7.3,7.7
中国GDP年率报告,2014,7.5,7.4,7.4
中国GDP年率报告,2014,7.3,7.2,7.5
中国GDP年率报告,2015,7.3,7.2,7.3
中国GDP年率报告,2015,7.0,7.0,7.3
中国GDP年率报告,2015,7.0,6.9,7.0
中国GDP年率报告,2015,6.9,6.8,7.0
中国GDP年率报告,2016,6.8,6.8,6.9
中国GDP年率报告,2016,6.7,6.7,6.8
中国GDP年率报告,2016,6.7,6.6,6.7
中国GDP年率报告,2016,6.7,6.7,6.7
中国GDP年率报告,2017,6.8,6.7,6.7
中国GDP年率报告,2017,6.9,6.8,6.8
中国GDP年率报告,2017,6.9,6.8,6.9
中国GDP年率报告,2017,6.8,6.8,6.9
中国GDP年率报告,2018,6.8,6.7,6.8
中国GDP年率报告,2018,6.8,6.8,6.8
中国GDP年率报告,2018,6.7,6.7,6.8
中国GDP年率报告,2018,6.5,6.6,6.7
中国GDP年率报告,2019,6.4,6.4,6.5
中国GDP年率报告,2019,6.4,6.3,6.4
中国GDP年率报告,2019,6.2,6.2,6.4
中国GDP年率报告,2019,6.0,6.1,6.2
中国GDP年率报告,2020,6.0,6.0,6.0
中国GDP年率报告,2020,-6.8,-6.5,6.0
中国GDP年率报告,2020,3.2,2.5,-6.8
中国GDP年率报告,2020,4.9,5.2,3.2
中国GDP年率报告,2021,6.5,6.1,4.9
中国GDP年率报告,2021,18.3,19.0,6.5
中国GDP年率报告,2021,7.9,8.1,18.3
中国GDP年率报告,2021,4.9,5.2,7.9
中国GDP年率报告,2022,4.0,3.6,4.9
中国GDP年率报告,2022,4.8,4.4,4.0
中国GDP年率报告,2022,0.4,1.0,4.8
中国GDP年率报告,2022,,3.4,0.4
中国GDP年率报告,2022,3.9,3.4,0.4
中国GDP年率报告,2022,,3.4,0.4
中国GDP年率报告,2023,2.9,1.8,3.9
中国GDP年率报告,2023,4.5,4.0,2.9
中国GDP年率报告,2023,6.3,7.3,4.5
中国GDP年率报告,2023,4.9,4.4,6.3
中国GDP年率报告,2024,5.2,5.3,4.9
中国GDP年率报告,2024,5.3,4.8,5.2
中国GDP年率报告,2024,4.7,5.1,5.3
中国GDP年率报告,2024,4.6,4.6,4.7
中国GDP年率报告,2025,5.4,5.0,4.6
中国GDP年率报告,2025,5.4,5.2,5.4
中国GDP年率报告,2025,5.2,,5.4
